item_name,ingredient_name,dosage_and_unit,pharmaceutical_form,packaging,packaging_qty,company,wholesale_price,sale_price,submitted_at
"1, 2, 3 TİPLİ PERORAL POLİOMİYELİT VAKSİNİ",VACCINE (POLIOMYELITIS (OPV)),"0,2 ml/doza",Məhlul,Flakon 2 ml,10,"ÇUMAKOV ADINA POLİOMİYELİT VƏ VİRUSLU ENSEFALİT İNSTİTUTUNUN MÜƏSSİSƏSİ, Rusiya",27.32,32.78,2016-11-29
5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 5 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",3.88,4.66,2016-11-29
5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 5 ml,5,"EBEVE FARMA GMBH NFG KG, Avstriya",17.07,20.48,2016-11-29
5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 10 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",6.41,7.69,2018-10-06
5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 10 ml,5,"EBEVE FARMA GMBH NFG KG, Avstriya",22.76,27.31,2016-11-29
5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 20 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",9.08,10.9,2016-11-29
5-FLÜORURASİL-EBEVE,FLUOROURACIL,50 mq/ml,İnyeksiya və infuziya üçün konsentrat,Flakon 100 ml,1,"EBEVE FARMA GMBH NFG KG, Avstriya",43.05,51.66,2016-11-29
5-NOK,NITROXOLINE,50 mq,Flakon,Blister,50,"LEK FARMASYUTİKALS DD, Sloveniya",4.34,5.21,2016-11-29
ABAKTAL,PEFLOXACIN,400 mq,Tablet,Blister,10,"LEK DD, Sloveniya",5.18,6.22,2016-11-29
ABİTRAKS,CEFTRIAXONE,1000 mq,İnyeksiya məhlulu üçün toz,Flakon + Ampulda həlledici,1,"LABORATORİO FARMASYUTİKO CT SRL, İtaliya",4.59,5.51,2016-11-29
ABİZOL,ARIPIPRAZOLE,5 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",30.7,36.84,2018-05-18
ABİZOL,ARIPIPRAZOLE,10 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",67.36,80.83,2016-11-29
ABİZOL,ARIPIPRAZOLE,15 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",35.9,43.08,2018-05-18
ABİZOL,ARIPIPRAZOLE,30 mq,Tablet,Blister,28,"NOBEL İLAÇ SAN VE TİC AŞ, Türkiyə",132.21,154.12,2016-11-29
ABROLEN,AMBROXOL HCL,6 mq/ml,Şərbət,Flakon 125 ml,1,"SPESİFAR SA, Yunanıstan",4.39,5.27,2016-11-29
AD VİTAMİNİ,RETINOL ACETATE + ERGOCALCIFEROL,(22522 + 5000) IU/ml,Damcı,Flakon 10 ml,1,"HEMOFARM AD, Serbiya",2.4,2.88,2017-05-24
ADALZİT GEL,ADAPALENE + BENZOYL PEROXIDE,"(1 + 33,3) mq/q",Gel,Tub 15 q,1,"DONGKOO BİOPHARMA KO LTD, Cənubi Koreya",16.57,19.88,2018-10-06
